                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70741,                0.80959,                 1.1363,                0.85166,                0.85334,                0.87493,                0.60889,                 1.0621,                0.88778,                  1.451,               0.006634,               0.006634,               0.006634
                     36,                0.70904,                0.79336,                 1.1381,                0.92004,                0.90768,                0.93064,                0.72361,                0.83863,                0.60914,                 1.2347,               0.006535,               0.006535,               0.006535
                     37,                0.67584,                0.75328,                 1.1269,                0.94308,                0.89072,                0.95857,                0.71422,                 0.8358,                0.58071,                 1.2295,               0.006436,               0.006436,               0.006436
                     38,                0.68709,                0.79097,                 1.1133,                0.95264,                0.83989,                0.93914,                0.73728,                0.89219,                0.59436,                 1.2751,               0.006337,               0.006337,               0.006337
                     39,                0.67939,                0.75728,                 1.1258,                0.91345,                0.83375,                0.92958,                0.69787,                0.87874,                 0.6084,                 1.2759,               0.006238,               0.006238,               0.006238
                     40,                0.68353,                0.77019,                 1.1135,                0.91359,                0.89039,                0.94904,                 0.7335,                0.82155,                0.64678,                 1.2386,               0.006139,               0.006139,               0.006139
                     41,                0.66976,                0.72553,                 1.1097,                0.86659,                0.77714,                0.87462,                0.66666,                0.98028,                0.73184,                 1.3752,                0.00604,                0.00604,                0.00604
                     42,                0.63844,                0.69774,                 1.0879,                0.84045,                0.81875,                0.91569,                0.73349,                0.83831,                  0.654,                 1.2508,               0.005941,               0.005941,               0.005941
                     43,                0.65367,                0.70246,                 1.0986,                0.95673,                0.92284,                0.96385,                0.81876,                0.74702,                0.49075,                 1.1906,               0.005842,               0.005842,               0.005842
                     44,                0.63189,                0.68052,                  1.089,                0.98262,                0.88675,                0.97336,                0.79501,                0.72315,                0.49399,                 1.1571,               0.005743,               0.005743,               0.005743
                     45,                0.62231,                0.66015,                 1.0733,                0.89752,                0.92894,                 0.9659,                0.77708,                0.74757,                0.49302,                 1.1463,               0.005644,               0.005644,               0.005644
                     46,                0.59691,                0.64621,                  1.062,                0.87892,                0.87811,                0.94039,                0.78356,                0.71955,                0.53051,                 1.1501,               0.005545,               0.005545,               0.005545
                     47,                0.59981,                0.64398,                 1.0646,                0.93192,                0.89394,                0.95253,                0.77299,                0.78584,                0.51033,                 1.1972,               0.005446,               0.005446,               0.005446
                     48,                0.58819,                 0.6347,                 1.0502,                0.90498,                0.90071,                0.95187,                 0.7559,                0.80584,                0.53219,                 1.2016,               0.005347,               0.005347,               0.005347
                     49,                0.59372,                0.63179,                 1.0583,                 0.9192,                 0.9065,                  0.962,                0.80716,                0.71525,                0.47993,                  1.143,               0.005248,               0.005248,               0.005248
                     50,                0.59511,                0.64235,                 1.0646,                0.96476,                0.89117,                0.96657,                0.80675,                0.71672,                0.45042,                 1.1792,               0.005149,               0.005149,               0.005149
                     51,                0.58432,                0.62446,                 1.0543,                0.90503,                0.90814,                0.94627,                0.77172,                0.70596,                0.51773,                 1.1461,                0.00505,                0.00505,                0.00505
                     52,                0.57136,                0.61415,                 1.0468,                0.95526,                0.89299,                0.96451,                0.82149,                0.62448,                 0.4444,                 1.0864,               0.004951,               0.004951,               0.004951
                     53,                0.56134,                0.61413,                 1.0453,                 0.9275,                0.83144,                0.95393,                0.79101,                0.70249,                0.49516,                 1.1402,               0.004852,               0.004852,               0.004852
                     54,                 0.5488,                0.58774,                  1.036,                0.96927,                0.85749,                0.94279,                0.82403,                0.64077,                 0.4694,                 1.1181,               0.004753,               0.004753,               0.004753
                     55,                0.54516,                0.58272,                 1.0299,                0.95372,                0.94279,                 0.9786,                0.84351,                0.60059,                0.44209,                 1.0334,               0.004654,               0.004654,               0.004654
                     56,                 0.5389,                0.57109,                 1.0263,                0.90297,                0.95734,                0.98064,                0.84989,                0.57589,                0.46601,                 1.0261,               0.004555,               0.004555,               0.004555
                     57,                0.52625,                0.57364,                 1.0263,                0.96809,                0.93492,                0.98776,                0.83625,                0.62135,                0.39453,                 1.0796,               0.004456,               0.004456,               0.004456
                     58,                0.52488,                0.57538,                 1.0205,                 0.9316,                0.92424,                0.95835,                0.84003,                0.61167,                0.47502,                 1.0676,               0.004357,               0.004357,               0.004357
                     59,                0.51701,                0.55272,                 1.0124,                0.98215,                0.90527,                0.97935,                0.86018,                0.56205,                 0.4027,                 1.0316,               0.004258,               0.004258,               0.004258
                     60,                0.52426,                0.54942,                 1.0194,                 0.9551,                0.89931,                0.97332,                0.87401,                0.51224,                0.36975,                0.98092,               0.004159,               0.004159,               0.004159
                     61,                0.51972,                0.55355,                 1.0242,                0.93962,                0.95868,                0.98466,                0.86068,                0.57882,                0.38103,                 1.0175,                0.00406,                0.00406,                0.00406
